iso3,Country,year,pop_mln,Country Total Emissions 2020 (MT),Country Total Emissions 2020 (tonnes),Country PCC Emissions 2020 (tonnes),gdp_blnUSDMER,gdp_blnUSDPPP,fossil_CO2_MtCO2,LULUCF_MtCO2,NonCO2_MtCO2e,vol_rdxn_MtCO2,allocation_MtCO2,responsibility_MtCO2,a1_dom_rdxn_MtCO2,net_import_MtCO2,capacity_blnUSDMER,rci,pop_mln_above_dl,pop_mln_above_lux,lux_emiss_MtCO2,lux_emiss_applied_MtCO2,kyoto_gap_MtCO2,lon,lat
SOM,Somalia,2020,16.105174,31.86571875,31865718.75,1.978601333,3.478256226,10.43476868,0.703779762,14.29999948,31.16193899,0,31.84675041,1.873294765,0,0.38699295,0.009338831,1.67E-06,0.011894548,5.67E-10,3.93E-08,0,0,48.316,9.774
ZAF,South Africa,2020,58.721232,526.8185552,526818555.2,8.971517409,439.5050659,572.7533644,452.3849309,2.064999998,74.43362427,0,443.1924162,6503.476424,0,-130.8047969,217.792303,0.00737267,22.12340373,0.677408918,23.33557137,0,0,23.121,-30.558
SSD,South Sudan,2020,13.610007,59.19813012,59198130.12,4.349603209,7.347420216,9.664579365,1.509205331,14.26799933,57.68892479,,58.9046066,30.25751204,0,0,0.016787609,2.59E-05,0.009958632,7.32E-08,4.84E-06,0,0,#N/A,#N/A
ESP,Spain,2020,46.45922,350.3417447,350341744.7,7.540844308,1607.651123,1443.238739,282.6001256,-40.69553598,67.74161911,0,160.4382424,7555.553235,0,64.72109375,1220.32564,0.016742324,45.87254238,8.130712254,35.95617967,0,21.38354775,-3.649,40.227
LKA,Sri Lanka,2020,21.084042,31.57135725,31571357.25,1.497405348,96.3555603,184.7076644,17.92070675,4.163999875,13.6506505,0,26.93384379,148.0828975,0,13.39270215,33.46594495,0.000408854,9.164542747,0.003604269,0.013153136,0,0,80.704,7.612
SDN,Sudan,2020,43.541204,130.3291055,130329105.5,2.993236143,87.84849548,115.5533142,17.17747641,197.4999987,113.1516291,0,128.3458856,139.4940413,0,14.71783008,6.647905691,0.000174845,2.217752002,0.000712517,0.012149564,0,0,30.05,13.832
SUR,Suriname,2020,0.577752,2.95685792,2956857.92,5.117867043,4.730971813,4.095117028,1.867420197,4.631000042,1.089437723,0,2.726315495,14.39381206,0,0.063385288,0.956109555,2.03E-05,0.202616506,0.000150442,0.00078184,0,0,-55.912,4.127
SWZ,Swaziland,2020,1.439295,3.179018081,3179018.081,2.208732804,5.285554409,7.895122238,1.161645234,0.300399989,2.017372847,0,2.835787521,21.13030334,0,0.845796265,1.453550606,3.03E-05,0.30230381,0.001011509,0.010431676,0,0,31.497,-26.562
SWE,Sweden,2020,10.121686,55.11627055,55116270.55,5.445364591,615.5568848,422.0260464,44.26978207,-42.22974555,10.84648848,0,-7.232077324,1445.196675,0,45.55127344,504.8329417,0.005496772,10.12127731,6.125757296,14.01478787,0,0,15.27,62.011
CHE,Switzerland,2020,8.670535,47.58091013,47580910.13,5.48765562,679.053833,377.2715753,38.05551052,-1.211007893,9.525399605,0,-17.78209518,1189.066497,0,66.92989063,562.0446691,0.005762551,8.651369131,6.047622381,19.72160114,0,2.555416218,7.908,46.861
